Date,Number of incidents,Class_Total_inc,SingleV_incidents,2V_incidents,MultiV_incidents,Ped_incidents,Rush_hourM,Rush_hourA,Total_Rush,Mean Temp (°C),Total Rain (mm),Total Snow (cm),Snow on Grnd (cm),Spd of Max Gust (km/h)
12/6/2016,11,0,0,9,2,0,0,6,6,-19.8,0,0,3,48
12/7/2016,24,2,2,16,4,2,4,4,8,-21.8,0,0,3,33
12/8/2016,26,2,10,8,6,2,8,6,14,-23.3,0,0,3,29
12/9/2016,38,2,5,24,9,0,9,15,24,-22.3,0,0.4,3,30
12/10/2016,40,2,25,11,4,0,5,10,15,-21.3,0,0,3,29
12/11/2016,9,0,3,6,0,0,1,2,3,-19.7,0,0.2,3,33
12/12/2016,23,2,3,19,0,1,5,2,7,-14.4,0,0,3,37
12/13/2016,3,0,0,3,0,0,0,1,1,-15.1,0,0,3,46
12/14/2016,27,2,2,21,4,0,7,4,11,-14.8,0,0,3,29
12/15/2016,27,2,6,19,2,0,4,8,12,-18.1,0,0.5,3,29
12/16/2016,35,2,5,24,5,1,11,9,20,-21.4,0,0,3,29
12/17/2016,16,1,5,8,2,1,2,5,7,-15,0,0,3,50
12/18/2016,7,0,0,6,1,0,1,1,2,-3.6,0,0,2,74
12/19/2016,14,0,3,7,2,2,0,4,4,-0.2,0,0,2,87
12/20/2016,4,0,1,3,0,0,3,0,3,-0.1,0,0,2,63
2/8/2017,19,1,2,10,7,0,0,0,0,-21.6,0,0,23,29
2/9/2017,16,1,10,5,1,0,0,0,0,-12.1,0,0,23,29
2/10/2017,16,1,1,7,7,1,4,2,6,-5.3,0,0,23,50
2/11/2017,13,0,5,7,1,0,0,1,1,-2.7,0,0,20,70
2/12/2017,9,0,3,6,0,0,1,2,3,1.1,0,0,15,65
2/13/2017,11,0,0,7,4,0,3,5,8,6.1,0,0,12,56
2/14/2017,12,0,3,7,1,1,1,6,7,4.4,0,0,10,29
2/15/2017,18,1,4,6,5,3,2,6,8,7.1,0,0,6,43
2/16/2017,10,0,4,2,3,1,3,5,8,7.3,0,0,4,63
2/17/2017,9,0,2,6,0,1,0,1,1,4,0,0,1,44
2/18/2017,4,0,0,2,2,0,0,0,0,-1.9,0,3.6,1,29
2/19/2017,5,0,4,1,0,0,3,0,3,-1.3,0,0,3,29
2/20/2017,6,0,2,1,0,3,1,0,1,-3.2,0,0,1,29
2/21/2017,12,0,0,9,1,2,2,5,7,-1.4,0,0,0,29
2/22/2017,10,0,2,6,2,0,3,2,5,-3.8,0,0.8,1,50
2/23/2017,11,0,1,7,3,0,3,2,5,-5.2,0,0.2,0,29
2/24/2017,12,0,5,5,1,1,2,1,3,-8.5,0,4,0,32
2/25/2017,5,0,1,2,2,0,0,0,0,-6.8,0.2,1.2,4,35
2/26/2017,5,0,3,2,0,0,0,1,1,-9.7,0,1.4,5,46
2/27/2017,14,0,2,9,2,1,6,1,7,-12.9,0,0,5,29
2/28/2017,13,0,2,7,4,0,4,6,10,-9.9,0,0,4,29
3/1/2017,13,0,2,10,1,0,0,0,0,-6,0,0,4,39
3/2/2017,11,0,0,10,1,0,0,0,0,-4.6,0,0,2,29
3/3/2017,10,0,0,8,1,1,0,0,0,1.9,0,0,2,54
3/4/2017,9,0,0,9,0,0,0,0,0,-7.9,0,0,1,48
3/5/2017,9,0,3,5,1,0,0,0,0,-11.7,0,2.4,1,29
3/6/2017,15,0,1,11,2,1,0,0,0,-12.2,0,0.2,2,29
3/7/2017,12,0,3,8,1,0,0,0,0,-13,0,0,2,33
3/8/2017,24,2,9,11,4,0,0,0,0,-17,0,6.1,7,32
3/9/2017,21,2,4,16,1,0,0,0,0,-19.8,0,2.6,6,32
3/10/2017,35,2,13,16,5,1,14,5,19,-18.6,0,3.1,9,29
3/11/2017,10,0,4,6,0,0,1,1,2,-17.7,0,1,8,32
3/12/2017,7,0,2,5,0,0,0,2,2,-15.8,0,0,9,39
3/13/2017,7,0,1,5,1,0,0,1,1,-3.6,0,0,9,39
3/14/2017,19,1,3,10,6,0,1,5,6,4.2,0,0,7,37
3/15/2017,12,0,1,9,2,0,1,5,6,6.2,0,0,3,46
3/16/2017,9,0,4,3,1,1,2,2,4,4.1,0,1.3,1,56
3/17/2017,14,0,1,10,3,0,1,4,5,0.7,0,0,1,39
3/18/2017,8,0,1,6,1,0,0,1,1,6,0.6,0,1,83
3/19/2017,8,0,2,5,1,0,1,1,2,-0.3,0,0,1,57
3/20/2017,12,0,3,8,0,1,1,4,5,-2.9,0,0,1,35
3/21/2017,8,0,2,6,0,0,2,2,4,0.7,0,0,0,61
3/22/2017,8,0,3,4,1,0,0,2,2,6.5,1.4,0,0,46
3/23/2017,12,0,3,8,0,1,0,0,0,4.6,0.2,0,1,54
3/24/2017,9,0,2,5,2,0,2,1,3,5.2,0,0,1,44
3/25/2017,8,0,2,5,1,0,1,1,2,6.1,0,0,1,44
3/26/2017,5,0,0,5,0,0,0,2,2,2.9,0,0,1,41
3/27/2017,6,0,3,2,1,0,0,1,1,6.6,0,0,1,37
3/28/2017,8,0,2,5,0,1,1,3,4,4.7,0,0,0,43
3/29/2017,10,0,0,5,4,1,1,1,2,5,0,0,0,41
3/30/2017,9,0,1,5,2,1,1,1,2,4.8,0,0,1,52
3/31/2017,16,1,1,10,5,0,0,5,5,6.1,0,0,1,43
4/1/2017,5,0,1,2,1,1,0,0,0,7.5,0.2,0,1,67
4/2/2017,10,0,2,7,1,0,0,0,0,0.9,0,7.2,5,46
4/3/2017,6,0,3,1,2,0,0,0,0,2.1,0,0,3,50
4/4/2017,6,0,1,5,0,0,0,0,0,2.4,0,0,1,37
4/5/2017,4,0,1,2,1,0,0,0,0,6.9,0,0,1,29
4/6/2017,7,0,0,6,1,0,0,0,0,11.5,0,0,0,54
4/7/2017,10,0,1,7,1,1,0,0,0,4,11.8,0,0,29
4/8/2017,10,0,2,6,1,1,0,0,0,7.4,0,0,0,41
4/9/2017,6,0,0,4,2,1,0,0,0,4.6,0.8,0,0,35
4/10/2017,10,0,1,8,1,0,1,3,4,4.5,0,0,0,46
4/11/2017,15,0,0,10,3,2,1,3,4,4.8,0,0,0,46
4/12/2017,15,0,6,8,1,0,2,1,3,3,0.4,0,0,43
4/13/2017,9,0,2,4,4,0,0,2,2,2,12.1,2.4,2,39
4/14/2017,8,0,0,7,0,1,0,3,3,5.6,0,0,0,50
4/15/2017,5,0,2,2,0,1,1,2,3,0.3,0,1.2,1,44
4/16/2017,1,0,0,1,0,0,0,0,0,1.6,0,0,1,50
4/17/2017,9,0,3,5,1,0,0,1,1,5.1,0,0,0,37
4/18/2017,8,0,1,5,1,1,0,1,1,7.6,0.4,0,1,50
4/19/2017,12,0,4,7,1,0,0,2,2,7.7,4,0,1,41
4/20/2017,6,0,1,4,1,0,0,2,2,8.1,0.2,0,0,44
4/21/2017,14,0,0,12,2,0,0,3,3,6.7,0.4,0,1,43
4/22/2017,13,0,1,8,3,1,0,4,4,5.6,7.2,0,1,44
4/23/2017,11,0,2,5,3,1,2,3,5,6.1,3.2,0,0,37
4/24/2017,11,0,3,7,1,0,1,3,4,2.2,4.2,0,1,32
4/25/2017,17,1,5,10,2,0,5,3,8,-0.6,0,5.2,3,35
4/26/2017,10,0,2,6,2,0,1,0,1,0.3,0,0,1,29
4/27/2017,5,0,1,4,0,0,0,0,0,4.6,0,0.4,0,35
4/28/2017,15,0,1,10,4,0,0,3,3,4.9,0,0.2,0,41
4/29/2017,11,0,2,7,2,0,0,2,2,7.5,0,0,0,39
4/30/2017,7,0,0,5,1,1,0,1,1,9.1,1.8,0,0,67
5/1/2017,9,0,1,6,2,0,0,0,0,7.2,0,0,0,37
5/2/2017,16,1,2,10,3,1,0,0,0,7.3,0,0,0,52
5/3/2017,17,1,0,13,4,0,0,0,0,10.6,0,0,0,43
5/4/2017,9,0,0,9,0,0,0,0,0,16.7,0,0,0,52
5/5/2017,10,0,0,5,5,0,0,0,0,16.1,0,0,0,48
5/6/2017,12,0,2,9,0,1,0,0,0,16.2,0,0,0,54
5/7/2017,10,0,2,7,1,0,0,0,0,7.4,0,0,0,52
5/8/2017,13,0,1,8,4,0,0,0,0,9.7,0,0,0,37
5/9/2017,7,0,3,3,0,1,0,0,0,12.2,0.2,0,0,41
5/10/2017,16,1,1,14,0,1,0,3,3,13.4,0,0,0,29
5/11/2017,4,0,1,2,0,1,0,0,0,13.9,1.6,0,0,52
5/12/2017,12,0,0,12,0,0,0,3,3,14.5,2,0,0,48
5/13/2017,10,0,0,7,1,2,0,1,1,10.7,2.2,0,0,50
5/14/2017,6,0,0,4,1,1,0,0,0,8.1,2,0,0,39
5/15/2017,7,0,1,4,2,0,1,1,2,7.4,0,0,0,50
5/16/2017,19,1,2,13,3,1,2,6,8,6.3,0,0,0,50
5/17/2017,14,0,0,13,1,0,0,3,3,5.3,6.4,0,0,44
5/18/2017,10,0,1,8,1,0,2,2,4,8.7,0,0,0,48
5/19/2017,14,0,2,7,5,0,1,5,6,10.8,0.6,0,0,43
5/20/2017,15,0,3,8,3,1,1,1,2,12.7,0,0,0,37
5/21/2017,7,0,3,4,0,0,0,0,0,14.1,0,0,0,52
5/22/2017,8,0,3,4,1,0,0,1,1,17.7,0,0,0,43
5/23/2017,9,0,2,6,1,0,0,1,1,20.1,0,0,0,41
5/24/2017,19,1,3,14,2,0,0,7,7,10.2,22.1,0,0,95
5/25/2017,12,0,4,5,2,1,0,7,7,10.4,1,0,0,74
5/26/2017,20,1,3,15,1,1,2,8,10,11.3,0,0,0,39
5/27/2017,12,0,1,9,1,1,0,2,2,18.6,0,0,0,59
5/28/2017,9,0,1,7,0,1,1,1,2,15.1,0,0,0,29
5/29/2017,9,0,0,5,3,1,0,2,2,15.7,0,0,0,41
5/30/2017,25,2,7,16,1,1,4,6,10,17.4,0,0,0,39
5/31/2017,12,0,1,10,1,0,0,3,3,19.9,0,0,0,50
6/1/2017,20,1,0,16,1,3,0,0,0,18,0.4,0,0,37
6/2/2017,17,1,4,9,3,1,0,0,0,16.8,0,0,0,70
6/3/2017,18,1,3,11,3,1,0,0,0,16.5,0,0,0,43
6/4/2017,19,1,6,10,2,1,0,0,0,17,1.8,0,0,67
6/5/2017,13,0,2,7,3,1,0,0,0,14.2,0.8,0,0,50
